job_id,company,role_title,exact_level,posting_date,location,work_arrangement,compensation,sector,role_domain,domain_fit,technology_orientation,application_posture,application_lane,primary_gap,gap_gating,bridge_action,bridge_timing,skill_build_priority,decision_rationale,recommended_resume_variant,recommended_portfolio_artifact,canonical_url,last_verified_at,user_review,user_notes
10487511,Amazon,"Principal Product Manager- Tech , Amazon Customer Service",Principal Product Manager- Tech,Not exposed,"Seattle, WA",On-site / unspecified,"USD 179,900–243,400 (published range)",Big Tech,AI-native customer service and support experience,ADJACENT,GenAI / Agentic AI,Strong Match,Apply Now + Bridge,Evidence Gap,Non-gating,Prepare concrete agent evaluation and customer-journey stories while applying.,Before Interview,Build Now,Apply immediately; Amazon technical-PM history and agent experience support a credible Principal interview.,Agents / 0→1 Platform,Forecasting Agent / Agent Evaluation,https://amazon.jobs/en/jobs/10487511/principal-product-manager-tech-amazon-customer-service,2026-09-19T19:24:42+00:00,,
10514206,Amazon,"Principal Product Manager Technical, AWS Applied AI Solutions - Core Services",Principal Product Manager Technical,Not exposed,"Seattle, WA",On-site / unspecified,"USD 181,100–245,000 (published range)",Big Tech,Enterprise AI agent evaluation platform,ADJACENT,GenAI / Agentic AI,Strong Match,Apply Now + Bridge,Evidence Gap,Soft,"Package golden datasets, graders, regression gates and adoption evidence; strengthen developer-platform positioning.",Ongoing Strategic Build,Build Now,Apply immediately; direct agent-evaluation capability and Principal scope outweigh a bridgeable service-commercialization evidence gap.,AI Evals / Quality,Forecasting Agent / Agent Evaluation,https://amazon.jobs/en/jobs/10514206/principal-product-manager-technical-aws-applied-ai-solutions-core-services,2026-09-19T19:24:42+00:00,,
5153924008,Anthropic,"Product Manager, Multi-Cloud Growth - Google",Product Manager,Not exposed,"San Francisco, CA","Hybrid, at least 25% office time","USD 305,000–460,000 (published range)",AI-native,Enterprise AI cloud-channel growth,ADJACENT,GenAI / Agentic AI,Stretch,Apply Now + Bridge,Experience Gap,Hard,Do not manufacture partnership ownership; test whether Amazon and Keystone commercial evidence satisfies the screen.,Before Recruiter Screen,Do Not Build,"Apply opportunistically because enterprise AI upside is high, but disclose the hard partner/P&L uncertainty and avoid a niche preparation track.",Enterprise Platform,Deep Enterprise,https://job-boards.greenhouse.io/anthropic/jobs/5153924008,2026-09-19T19:24:42+00:00,,
81b94a4e-53d3-40d5-9c04-af57bd01961c,Confluent,"Staff Product Manager, Real Time Data Analytics Platform",Staff Product Manager,Not exposed,United States,Remote,"USD 231,500–272,000 (published range)",Data / Developer Infrastructure,Real-time streaming analytics,ADJACENT,Data / Infrastructure,Credible Match,Apply Now + Bridge,Knowledge Gap,Soft,Learn the streaming architecture only if a recruiter screen or interview advances.,Interview Triggered,Interview Triggered,Apply immediately; platform PM evidence is credible and specialized streaming depth can be prepared if interest materializes.,Data / ML Platform,Enterprise Data Platform,https://jobs.ashbyhq.com/confluent/81b94a4e-53d3-40d5-9c04-af57bd01961c,2026-09-19T19:24:42+00:00,,
4233299e-f003-4745-8fc0-6622abff1749,Constructor,"Staff Product Manager, Product Discovery Engine",Staff Product Manager,Not exposed,Remote (US eligibility indicated by benefits),Remote,Not published,Retail / Commerce,"Retail search, discovery and ranking",ADJACENT,Classical ML / Data Science,Credible Match,Apply Now + Bridge,Evidence Gap,Soft,Package Patent AI controlled experiments and Amazon recommendations; deepen query/recall/reranking stories.,Ongoing Strategic Build,Build Now,Apply immediately; strong retrieval and ML adjacency supports Staff scope while reusable search-evaluation depth grows.,AI Evals / Quality,Patent AI Search / Retrieval Evaluation,https://jobs.ashbyhq.com/constructor/4233299e-f003-4745-8fc0-6622abff1749/,2026-09-19T19:24:42+00:00,,
3dd3085b-471c-4416-a782-9c9fccf7e32f,Headway,Principal Product Manager,Principal Product Manager,Not exposed,"Remote; Seattle, WA; New York, NY; San Francisco, CA",Remote / listed offices,"USD 300,000–375,000 (published range)",Healthcare,Insurance-enabled mental-health marketplace,ADJACENT,Mixed,Credible Match,Apply Now + Bridge,Knowledge Gap,Non-gating,"Learn credentialing, claims and provider workflow fundamentals if an interview is scheduled.",Interview Triggered,Interview Triggered,Apply immediately; high-scope remote/Seattle opportunity justifies interviewing while learning healthcare details on demand.,General Principal PM,Deep Enterprise,https://jobs.ashbyhq.com/headway/3dd3085b-471c-4416-a782-9c9fccf7e32f,2026-09-19T19:24:42+00:00,,
0762f803-07d5-4946-bd06-decbece48fdc,Included Health,Staff Product Manager - Care Application Platform,Staff Product Manager,Not exposed,United States,Remote,"USD 163,000–277,704 (published range)",Healthcare,Care application platform and expert workflows,ADJACENT,Mixed,Credible Match,Apply Now + Bridge,Knowledge Gap,Non-gating,Translate enterprise planner/financial expert workflows into care-team analogs; learn care terminology if interviewed.,Interview Triggered,Interview Triggered,Apply immediately; Staff platform ownership and high-stakes workflow transfer satisfy the stated alternative.,Enterprise Platform,Deep Enterprise,https://jobs.lever.co/includedhealth/0762f803-07d5-4946-bd06-decbece48fdc,2026-09-19T19:24:42+00:00,,
7a8fba25-fe2f-4b23-a224-ac48e943725d,interface.ai,Principal Product Manager – AI Platform,Principal Product Manager,Not exposed,"San Francisco, CA",On-site,"USD 250,000–320,000 (published range)",AI-native,Financial-services agent platform,ADJACENT,GenAI / Agentic AI,Credible Match,Apply Now + Bridge,Evidence Gap,Soft,Package end-to-end agent platform and eval tradeoffs; clarify tenure screen and SF on-site feasibility.,Ongoing Strategic Build,Build Now,Apply immediately; aligned agent and fintech platform scope warrants pursuit despite tenure and location questions.,Agents / 0→1 Platform,Forecasting Agent / Agent Evaluation,https://jobs.ashbyhq.com/interface-ai/7a8fba25-fe2f-4b23-a224-ac48e943725d/,2026-09-19T19:24:42+00:00,,
fbca55c0-c7a1-4ed2-aed3-fe26a9255bb2,Latitude,Technical Product Lead,Technical Product Lead,Not exposed,United States,Remote,Not published,Payments,Cross-border payment infrastructure and settlement,BRIDGEABLE,Data / Infrastructure,Stretch,Apply Now + Bridge,Experience Gap,Soft,Test whether financial-risk experience qualifies as core-domain expertise; prepare API and reconciliation tradeoffs only if screened.,Before Recruiter Screen,Interview Triggered,Apply immediately as a high-ownership stretch; verify domain interpretation before spending time on rail-specific study.,Fintech / Payments,Amazon Financial Services,https://jobs.ashbyhq.com/latitude-global/fbca55c0-c7a1-4ed2-aed3-fe26a9255bb2,2026-09-19T19:24:42+00:00,,
ffcfb7c0-7ca2-4fa1-a91d-0f0f236bb2b9,Nirvana Insurance,Senior Product Manager,Senior Product Manager,Not exposed,"San Francisco, CA; New York, NY; Remote",Location type listed on-site; remote option ambiguous,"USD 155,000–220,000 (published range)",Insurance,Commercial-insurance pricing and risk data platform,ADJACENT,Mixed,Credible Match,Apply Now + Bridge,Knowledge Gap,Soft,Validate Principal-equivalent scope and Seattle remote eligibility with recruiter; learn pricing workflow details if interviewed.,Before Recruiter Screen,Interview Triggered,"Apply immediately as a conditional opportunity; platform ownership may offset the Senior title, but confirm level and remote terms early.",Data / ML Platform,Enterprise Data Platform,https://jobs.ashbyhq.com/nirvana/ffcfb7c0-7ca2-4fa1-a91d-0f0f236bb2b9,2026-09-19T19:24:42+00:00,,
product-manager-api-agents-san-francisco,OpenAI,"Product Manager, API Agents",Product Manager,Not exposed,"San Francisco, CA",On-site,"USD 293,000–325,000 (published range)",AI-native,Developer-facing AI agent APIs,ADJACENT,GenAI / Agentic AI,Stretch,Apply Now + Bridge,Evidence Gap,Soft,"Build a small developer-facing agent API prototype and strengthen the production primitives, eval and reliability story.",Ongoing Strategic Build,Build Now,Apply immediately; the role's broad API-agent ownership and pay support a senior-equivalent stretch while developer-platform evidence is strengthened.,Agents / 0→1 Platform,Forecasting Agent / Agent Evaluation,https://openai.com/careers/product-manager-api-agents-san-francisco/,2026-09-19T19:24:42+00:00,,
8734135002,OpenTable,Principal Product Manager - Restaurant Product,Principal Product Manager,Not exposed,"San Francisco, CA","Hybrid, two office days weekly","USD 190,000–220,000 (published range)",Marketplace / Consumer,Restaurant revenue optimization,BRIDGEABLE,Classical ML / Data Science,Credible Match,Apply Now + Bridge,Knowledge Gap,Non-gating,Learn restaurant unit economics and revenue-management vocabulary if an interview advances.,Interview Triggered,Interview Triggered,Apply immediately; AI/ML and 0-to-1 evidence satisfy the hard requirements without hospitality tenure.,Growth / Consumer,Forecasting Agent / Agent Evaluation,https://job-boards.greenhouse.io/opentable/jobs/8734135002,2026-09-19T19:24:42+00:00,,
67be8703-070b-459d-8c5c-191a1478f803,R37 Lab / R1 RCM,Principal Product Manager,Principal Product Manager,Not exposed,United States,Remote,"USD 216,000–270,000 (published range)",Healthcare,Healthcare revenue-cycle management,BRIDGEABLE,GenAI / Agentic AI,Stretch,Apply Now + Bridge,Experience Gap,Hard,Test whether transferable regulated enterprise AI work can overcome the healthcare screen; prepare RCM concepts only if the process advances.,Before Recruiter Screen,Interview Triggered,"Apply opportunistically as a high-upside AI-product stretch, while recognizing a real hard healthcare-domain screen and avoiding a niche study track.",Agents / 0→1 Platform,Forecasting Agent / Agent Evaluation,https://jobs.ashbyhq.com/r37/67be8703-070b-459d-8c5c-191a1478f803,2026-09-19T19:24:42+00:00,,
50191019-226e-4274-915f-e9e2da68cfa3,Steadily,Principal Product Manager,Principal Product Manager,Not exposed,"Austin, TX",On-site,Not published,Insurance,Property-insurance billing and policy servicing,BRIDGEABLE,Non-AI,Credible Match,Apply Now + Bridge,Knowledge Gap,Soft,Confirm location flexibility and learn policy lifecycle concepts if an interview advances.,Interview Triggered,Interview Triggered,Apply immediately if Austin is a viable exploration option; domain study can wait until interview interest.,Fintech / Payments,Amazon Financial Services,https://jobs.ashbyhq.com/Steadily/50191019-226e-4274-915f-e9e2da68cfa3,2026-09-19T19:24:42+00:00,,
R-2409416,Walmart,"Principal, Product Manager - Core Recommendations","Principal, Product Manager",Not exposed,"Sunnyvale, CA",On-site / unspecified,"USD 143,000–286,000 (published range)",Retail / Commerce,Retail recommendations and personalization,ADJACENT,Classical ML / Data Science,Credible Match,Apply Now + Bridge,Evidence Gap,Soft,"Prepare concrete recommender metrics, offline/online tradeoffs and customer-impact stories while applying.",Before Interview,No Build Needed,Apply immediately; direct Amazon marketplace/ML experience supports a Principal interview despite location and evidence packaging needs.,Data / ML Platform,Amazon ML Platform,https://careers.walmart.com/us/en/jobs/R-2409416,2026-09-19T19:24:42+00:00,,
