job_id,company,company_brief,role_title,exact_level,posting_date,posting_date_source,posting_date_confidence,location,country,work_arrangement,compensation,currency,sector,role_domain,domain_fit,domain_requirement_strength,domain_transfer_rationale,technology_orientation,role_cluster,role_mandate,key_functional_requirements,hard_prerequisites,candidate_relevant_evidence,primary_gap,gap_gating,gap_rationale,bridge_action,bridge_timing,strategic_skill_overlap,skill_build_priority,application_posture,application_lane,decision_rationale,recommended_resume_variant,recommended_portfolio_artifact,canonical_url,source,status,discovered_at,last_verified_at,application_status,outreach_status,user_review,user_notes
23749240,Travelers,"Travelers is a property-and-casualty insurer; this director role runs a state-product portfolio's growth, profitability and pricing decisions.","Director, Product Management (California State Team)","Director, Product Management",2026-08-24,Official employer JD,High,"Hartford, CT",US,On-site / unspecified,"USD 120,400–198,700 (published range)",USD,Insurance,State P&C insurance pricing and profitability,NICHE / FAR,Required,"NICHE / FAR: Financial-services product leadership transfers generally, but state P&C rating, actuarial economics and direct team management do not.",Non-AI,Growth / Monetization / Consumer,"Own the California state-product plan and profitability. Direct rating, underwriting and pricing decisions with a product team and actuarial partners.",Manage state product growth and profitability; Set P&C pricing and rate plans; Analyze underwriting performance; Coordinate actuarial and regulatory decisions; Lead product team execution,Direct P&C state product/rating expertise and people-management scope are central to the role.,Amazon Financial Services; cross-functional leadership at Keystone and Amazon; no evidenced formal PM reports.,Experience Gap,Hard,State P&C pricing/actuarial ownership and formal product-team management are not evidenced.,Do not build an actuarial specialty for this isolated opportunity.,Not Required,Low,Do Not Build,Skip,Skip,"Skip; hard P&C actuarial and management requirements, Hartford location and lower published range do not support the target path.",General Principal PM,Amazon Financial Services,https://careers.travelers.com/job/23749240/director-product-management-california-state-team-hartford-ct/,Official employer/ATS page (careers.travelers.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
fa5d826d-18e1-4ce1-b103-204a5701a701,Socure,Socure provides identity verification and fraud intelligence; this Principal role owns Account Intelligence products for bank-account status and ownership verification.,Principal Product Manager,Principal Product Manager,Not exposed,Not exposed,Unavailable,"Seattle, WA",US,Hybrid,"USD 237,000–285,000 (published range)",USD,Fintech,Bank-account verification and identity intelligence,ADJACENT,Preferred,"ADJACENT: Credit eligibility, financial risk decisions and ML platform work transfer strongly, though dedicated identity-product tenure is not evidenced.",Classical ML / Data Science,Security / Risk,"Own Account Intelligence strategy and commercialization. Decide account-status and ownership verification products across payment instruments, customer workflows, pricing and adoption.",Define bank-account status and ownership verification roadmap; Expand to additional payment instruments and consortium data; Lead customer discovery through launch and scale; Specify data-intensive platform/API capabilities; Own adoption pricing costs revenue and profitability,"10+ years PM and relevant payments, account verification, fraud, identity or adjacent financial-services experience.",Amazon Financial Services credit decisioning; Amazon ML Platform; Keystone Data Platform.,Evidence Gap,Soft,Credit-risk and data-platform evidence is clear; direct bank-account verification and consortium-data commercialization outcomes need a sharper story.,"Lead with financial decisioning, bureau data and platform commercialization, without claiming direct account-verification ownership.",Before Interview,Medium,No Build Needed,Strong Match,Apply Now,Apply now; Seattle Principal scope and adjacent financial-risk ML evidence support a credible interview.,Fintech / Payments,Amazon Financial Services,https://jobs.ashbyhq.com/socure/fa5d826d-18e1-4ce1-b103-204a5701a701,Official employer/ATS page (jobs.ashbyhq.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
6630580,Adyen,Adyen operates a global payments platform; this Group role leads credit and data products as well as a team of product managers.,"Group Product Manager, Credit and Data Platform",Group Product Manager,Not exposed,Not exposed,Unavailable,"Chicago, IL; San Francisco, CA",US,Office-first,"USD 235,000–317,000 (published range)",USD,Payments,Credit and data platform for global payments,DIRECT,Required,"DIRECT: Credit and data-platform work is direct, but the specific PM people-management requirement is not evidenced.",Data / Infrastructure,Fintech / Payments / Credit,Set credit/data platform strategy and align multiple PM-owned workstreams. Own product outcomes while managing and developing a PM team.,Define credit product and data-platform roadmap; Align payment data with credit decisions; Coordinate platform integration across teams; Measure portfolio commercial outcomes; Manage and develop product managers,Three-plus years credit product experience and direct management of at least three PMs.,Amazon Financial Services; Keystone Data Platform; formal PM people management not established.,Experience Gap,Hard,Required direct management of three or more PMs is not supported by the current career evidence.,Do not represent cross-functional influence as formal direct-report management; revisit if management evidence is confirmed.,Not Required,Low,Do Not Build,Skip,Skip,Skip for now; direct PM-management prerequisite is a hard screen despite otherwise strong credit/data fit.,Fintech / Payments,Amazon Financial Services,https://job-boards.greenhouse.io/adyen/jobs/6630580,Official employer/ATS page (job-boards.greenhouse.io),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
4694576005,Flex,Flex builds a financial operating platform; this Principal role owns its payment movement and fraud product infrastructure.,"Principal Product Manager, Payments",Principal Product Manager,Not exposed,Not exposed,Unavailable,"New York, NY; San Francisco, CA",US,Hybrid,"USD 248,000–310,000 (published range)",USD,Payments,"Payment rails, fraud controls and money movement",BRIDGEABLE,Required,"BRIDGEABLE: Financial products and risk workflows transfer, but dedicated payment rails and PM-manager experience are not shown.",Non-AI,Fintech / Payments / Credit,"Own payment flows and infrastructure reliability for Flex's financial product. Guide rail, fraud and partner tradeoffs while coaching other PMs.",Define payment rails and orchestration; Manage payout and transaction failure paths; Own fraud control tradeoffs; Lead partner-integrated payment launches; Coach PM delivery across payment surfaces,Three-plus years direct payments/fraud work and player-coach PM management.,Amazon Financial Services credit products; Keystone enterprise integrations; no direct rail or formal PM-management evidence.,Experience Gap,Hard,"Direct payments-rail tenure and people-management experience are material JD screens, not vocabulary gaps.",Do not invest proactively in specialized rails or claim management experience not established.,Not Required,Low,Do Not Build,Skip,Skip,Skip for current calibration; strong economics do not override two hard prerequisites outside the best-evidenced path.,Fintech / Payments,Amazon Financial Services,https://job-boards.greenhouse.io/flex/jobs/4694576005,Official employer/ATS page (job-boards.greenhouse.io),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
fbca55c0-c7a1-4ed2-aed3-fe26a9255bb2,Latitude,Latitude is an early-stage global money-movement platform using payment and blockchain rails; the first product hire would own its technical roadmap with founders.,Technical Product Lead,Technical Product Lead,Not exposed,Not exposed,Unavailable,United States,US,Remote,Not published,,Payments,Cross-border payment infrastructure and settlement,BRIDGEABLE,Required,"BRIDGEABLE: Amazon financial products and API/platform work transfer, though direct rails, FX or crypto ownership is not documented.",Data / Infrastructure,Fintech / Payments / Credit,"Be the first product hire accountable for corridors, rails, integrations and public APIs. Decide what to build with founders while converting regulatory and partner constraints into product choices.",Own cross-border payment roadmap; Specify APIs ledgering and reconciliation; Integrate banks and financial partners; Translate regulation into product architecture; Prioritize payout and collection flows,"Senior technical PM, API-first product and startup fluency plus expertise in at least one of payments, FX, crypto, treasury, identity or fraud.",Amazon Financial Services; Keystone Data Platform APIs and regulated deployments; startup product leadership at Keystone.,Experience Gap,Soft,Required core-domain expertise may be screened strictly; credit-risk work is adjacent but direct payment rails/FX/crypto is not evidenced.,Test whether financial-risk experience qualifies as core-domain expertise; prepare API and reconciliation tradeoffs only if screened.,Before Recruiter Screen,Low,Interview Triggered,Stretch,Apply Now + Bridge,Apply immediately as a high-ownership stretch; verify domain interpretation before spending time on rail-specific study.,Fintech / Payments,Amazon Financial Services,https://jobs.ashbyhq.com/latitude-global/fbca55c0-c7a1-4ed2-aed3-fe26a9255bb2,Official employer/ATS page (jobs.ashbyhq.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
f7225fae-2203-4332-8ea4-8569c7e371d1,Vanta,Vanta automates trust and compliance workflows; its data platform supports evidence collection and product analytics at scale.,"Staff Product Manager, Data Platform",Staff Product Manager,Not exposed,Not exposed,Unavailable,United States,US,Remote,"USD 243,000–286,000 (published range)",USD,Enterprise Software,Security/compliance data platform,ADJACENT,Preferred,"ADJACENT: Data-platform capability is direct from Keystone, while trust/compliance is the adjacent business domain.",Data / Infrastructure,Data / ML Platform,"Own the platform that fetches, stores and makes customer/third-party data queryable for Vanta products. Sequence foundational investments against feature needs, stability and adoption.",Roadmap customer and third-party data ingestion and storage; Balance platform stability against feature delivery; Support integrations and compliance evidence products; Improve scalability and queryability; Measure platform adoption and enablement across teams,6+ years supporting platform teams and prior 0-to-1 platform building; security background is not a hard screen.,Keystone Data Platform; Amazon ML Platform; Deep Enterprise cloud architecture.,No Material Gap,Non-gating,"Security/compliance terms are new, but functional platform ownership is already strongly evidenced.","Tailor Keystone data contracts, governance and adoption examples; no capability build required.",Not Required,High,No Build Needed,Strong Match,Apply Now,Apply now; Staff data-platform functional fit and remote-US setup are compelling.,Data / ML Platform,Enterprise Data Platform,https://jobs.ashbyhq.com/vanta/f7225fae-2203-4332-8ea4-8569c7e371d1,Official employer/ATS page (jobs.ashbyhq.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
81b94a4e-53d3-40d5-9c04-af57bd01961c,Confluent,Confluent commercializes streaming data infrastructure; this Staff role shapes real-time analytics and developer-facing query products.,"Staff Product Manager, Real Time Data Analytics Platform",Staff Product Manager,Not exposed,Not exposed,Unavailable,United States,US,Remote,"USD 231,500–272,000 (published range)",USD,Data / Developer Infrastructure,Real-time streaming analytics,ADJACENT,Required,"ADJACENT: Keystone data architecture and Amazon ML platform leadership transfer to streaming analytics, but engine-level query depth is thinner.",Data / Infrastructure,Data / ML Platform,"Set direction for real-time analytics capabilities and developer experience. Balance low-latency query behavior, scalability and platform adoption with engineering teams.",Shape real-time analytics product roadmap; Define streaming query use cases; Evaluate latency and materialized-view tradeoffs; Improve developer APIs and adoption; Coordinate platform performance and reliability decisions,"8+ years PM/technical roles, 5+ years infrastructure or data products from concept to launch, and deep familiarity with real-time analytics, database internals or streaming platform architecture.",Keystone Data Platform event streams and data contracts; Amazon ML Platform model lifecycle.,Knowledge Gap,Soft,"Kafka/Flink, materialized views, streaming-query performance and distributed database tradeoffs need deeper technical preparation.",Learn the streaming architecture only if a recruiter screen or interview advances.,Interview Triggered,Medium,Interview Triggered,Credible Match,Apply Now + Bridge,Apply immediately; platform PM evidence is credible and specialized streaming depth can be prepared if interest materializes.,Data / ML Platform,Enterprise Data Platform,https://jobs.ashbyhq.com/confluent/81b94a4e-53d3-40d5-9c04-af57bd01961c,Official employer/ATS page (jobs.ashbyhq.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
4712069006,Couchbase,"Couchbase sells an operational database platform; this Principal role owns the mobile, edge and synchronization product portfolio.",Principal Product Manager,Principal Product Manager,Not exposed,Not exposed,Unavailable,United States,US,Remote,"USD 160,000–188,000 (published range)",USD,Data / Developer Infrastructure,Mobile and edge database infrastructure,NICHE / FAR,Required,"NICHE / FAR: Enterprise data-platform experience transfers generally, but building client-side applications and sync systems personally is not evidenced.",Data / Infrastructure,Enterprise / Developer Platform,"Improve execution, release quality and developer experience for mature mobile/edge database products. Make technically grounded decisions about client-side sync and on-device AI support.",Roadmap mobile embedded database products; Improve client-side sync and release quality; Validate developer features hands-on; Define edge and on-device data tradeoffs; Resolve customer escalations across database products,8+ years PM plus 3+ years hands-on production software development and client-side application architecture.,Keystone Data Platform and Amazon ML Platform PM leadership; no evidenced three-year production client-application engineering tenure.,Experience Gap,Hard,The JD explicitly requires three-plus years writing or architecting production software and mobile/edge client systems.,Do not claim PM collaboration as personal software-development tenure; do not build a niche mobile database career track for this role.,Not Required,Low,Do Not Build,Skip,Skip,Skip; the hard hands-on mobile database engineering requirement has low leverage for the desired AI-PM direction.,Enterprise Platform,Enterprise Data Platform,https://job-boards.greenhouse.io/couchbaseinc/jobs/4712069006,Official employer/ATS page (job-boards.greenhouse.io),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
JB0074880,ServiceNow,ServiceNow supplies enterprise workflow software; this Staff role develops AI/LLM product evaluation methods for its platform.,Staff Technical Product Manager – AI/LLM expertise + AI Evaluation Science,Staff Technical Product Manager,2026-08-26,Official employer JD,High,Hyderabad,India,Flexible,Not published,,Enterprise Software,Enterprise AI evaluation and LLM quality,DIRECT,Required,"DIRECT: Forecasting Agent and Patent AI evaluation directly cover quality rubrics, retrieval metrics and human judgment loops.",GenAI / Agentic AI,AI / Agents / Evals,"Set product direction for AI evaluation science in enterprise workflows. Define repeatable measurement, feedback and quality gates that let teams ship trustworthy LLM features.",Define LLM evaluation datasets and quality criteria; Compare model and agent outcomes; Connect human judgments to regression gates; Translate evaluation research into product requirements; Monitor quality across enterprise workflows,Staff technical PM and AI/LLM evaluation experience; India work authorization remains unknown independently of JD fit.,Forecasting Agent / Agent Evaluation; Patent AI Search / Retrieval Evaluation; Deep Enterprise.,Evidence Gap,Non-gating,"Existing evaluation work is strong, but a compact story connecting grader design, benchmark governance and production regression use would improve proof.","Deepen and package golden datasets, graders, judge calibration and regression gates; confirm India eligibility.",Ongoing Strategic Build,High,Build Now,Strong Match,Apply Now + Bridge,Apply immediately if India eligibility is confirmed; strong evaluation evidence and Staff scope merit concurrent strategic depth-building.,AI Evals / Quality,Forecasting Agent / Agent Evaluation,https://careers.servicenow.com/jobs/744000145693831/staff-technical-product-manager-aillm-expertise-plus-ai-evaluation-science/,Official employer/ATS page (careers.servicenow.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
R-2538197,Walmart,Walmart operates a large retail supply chain; this Principal role builds products for inventory planning and forecasting decisions.,"(USA) Principal, Product Manager","Principal, Product Manager",Not exposed,Not exposed,Unavailable,"Bentonville, AR",US,On-site / unspecified,"USD 110,000–220,000 (published range)",USD,Retail / Commerce,Supply-chain inventory planning,DIRECT,Preferred,"DIRECT: Amazon Supply Chain and Keystone forecasting directly cover inventory planning, optimization and planner workflows.",Classical ML / Data Science,Marketplace / Supply Chain / Operations,"Improve how retail inventory is planned and allocated. Define forecasting and safety-stock product decisions that balance availability, cost and operational adoption.",Build inventory forecasting products; Define safety-stock and availability decisions; Integrate planning data and operational workflows; Measure forecast and inventory outcomes; Coordinate planners data science and engineering,"Bachelor's in a relevant field plus 9 years PM, or 11 years PM/related experience; Walmart-specific tenure is not required.",Amazon Supply Chain / Optimization; Forecasting Agent; Keystone Hershey enterprise planning.,No Material Gap,Non-gating,Direct supply-chain and forecasting evidence meets the substantive mandate; Bentonville location is a separate constraint.,Lead with documented Amazon supply-chain and forecasting outcomes; clarify on-site expectations early.,Not Required,Medium,No Build Needed,Strong Match,Apply Now,Apply now for calibration; direct domain and Principal scope justify exploration despite Bentonville location friction.,Data / ML Platform,Amazon Supply Chain / Optimization,https://careers.walmart.com/us/en/jobs/R-2538197,Official employer/ATS page (careers.walmart.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
R-2409416,Walmart,Walmart's retail platform serves shoppers across digital and store channels; this Principal role owns the core recommendation experience.,"Principal, Product Manager - Core Recommendations","Principal, Product Manager",Not exposed,Not exposed,Unavailable,"Sunnyvale, CA",US,On-site / unspecified,"USD 143,000–286,000 (published range)",USD,Retail / Commerce,Retail recommendations and personalization,ADJACENT,Preferred,"ADJACENT: Amazon seller recommendations, ML platform and consumer engagement work transfer to relevance and personalization at retail scale.",Classical ML / Data Science,Search / Retrieval / Knowledge,Improve recommendations used by Walmart shoppers. Set the product roadmap for model quality and customer outcomes across discovery surfaces.,Define recommendation product strategy; Improve ranking relevance and personalization; Partner with ML science on experimentation; Measure engagement and conversion outcomes; Integrate recommendations into shopping surfaces,Principal product leadership with ML/recommendation product fluency; exact retail-recommender tenure is not established as a hard screen.,Amazon seller recommendations; Amazon ML Platform; Amazon consumer engagement.,Evidence Gap,Soft,"Seller recommendations and experimentation exist, but direct ownership of shopper recommendation rankers at Walmart scale is not explicit.","Prepare concrete recommender metrics, offline/online tradeoffs and customer-impact stories while applying.",Before Interview,Medium,No Build Needed,Credible Match,Apply Now + Bridge,Apply immediately; direct Amazon marketplace/ML experience supports a Principal interview despite location and evidence packaging needs.,Data / ML Platform,Amazon ML Platform,https://careers.walmart.com/us/en/jobs/R-2409416,Official employer/ATS page (careers.walmart.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
8734135002,OpenTable,OpenTable connects diners and restaurants; this Principal role develops AI/ML tools that improve restaurant revenue.,Principal Product Manager - Restaurant Product,Principal Product Manager,Not exposed,Not exposed,Unavailable,"San Francisco, CA",US,"Hybrid, two office days weekly","USD 190,000–220,000 (published range)",USD,Marketplace / Consumer,Restaurant revenue optimization,BRIDGEABLE,Preferred,"BRIDGEABLE: Forecasting, optimization and 0-to-1 ML products transfer to restaurant revenue decisions; hospitality economics are new.",Classical ML / Data Science,Growth / Monetization / Consumer,"Create and launch AI/ML products that help restaurants earn more. Choose monetization opportunities, experiments and a product strategy across restaurant workflows.",Define restaurant revenue-optimization roadmap; Launch 0-to-1 AI/ML products; Identify pricing or yield opportunities through data; Prototype and experiment with restaurant partners; Measure business impact of shipped capabilities,"10+ years PM, shipped AI/ML products and 0-to-1 ownership; restaurant and yield-management background are preferred.",Forecasting Agent; Amazon ML Platform; Amazon Supply Chain / Optimization; Deep Enterprise 0-to-1 launch.,Knowledge Gap,Non-gating,Restaurant revenue and yield-management mechanics are new but explicitly preferred rather than required.,Learn restaurant unit economics and revenue-management vocabulary if an interview advances.,Interview Triggered,Low,Interview Triggered,Credible Match,Apply Now + Bridge,Apply immediately; AI/ML and 0-to-1 evidence satisfy the hard requirements without hospitality tenure.,Growth / Consumer,Forecasting Agent / Agent Evaluation,https://job-boards.greenhouse.io/opentable/jobs/8734135002,Official employer/ATS page (job-boards.greenhouse.io),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
4233299e-f003-4745-8fc0-6622abff1749,Constructor,"Constructor builds retail product search and discovery software; this Staff role owns relevance, ranking and search-driven business outcomes.","Staff Product Manager, Product Discovery Engine",Staff Product Manager,Not exposed,Not exposed,Unavailable,Remote (US eligibility indicated by benefits),US,Remote,Not published,,Retail / Commerce,"Retail search, discovery and ranking",ADJACENT,Required,"ADJACENT: Patent AI retrieval/evaluation and Amazon seller recommendations transfer to ranking quality, though retail-search production scale is less direct.",Classical ML / Data Science,Search / Retrieval / Knowledge,"Own search-quality strategy, then grow into product-discovery engine leadership. Improve recall, ranking and customer conversion through measurable model and system changes.",Lead search relevance and recall strategy; Define query understanding and personalization; Tie ranking quality to conversion and GMV; Build search evaluation frameworks; Productize ML and LLM-assisted retrieval improvements,Extensive senior PM experience in search/discovery/ML/NLP and deep search-pipeline fluency.,Patent AI Search / Retrieval Evaluation; Amazon seller recommendations; Forecasting Agent RAG.,Evidence Gap,Soft,"Retrieval and ranking evaluation is demonstrated, but large-scale production retail search ownership is not explicit.",Package Patent AI controlled experiments and Amazon recommendations; deepen query/recall/reranking stories.,Ongoing Strategic Build,High,Build Now,Credible Match,Apply Now + Bridge,Apply immediately; strong retrieval and ML adjacency supports Staff scope while reusable search-evaluation depth grows.,AI Evals / Quality,Patent AI Search / Retrieval Evaluation,https://jobs.ashbyhq.com/constructor/4233299e-f003-4745-8fc0-6622abff1749/,Official employer/ATS page (jobs.ashbyhq.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
3dd3085b-471c-4416-a782-9c9fccf7e32f,Headway,Headway helps mental-health providers participate in insurance and run their practices; Principal PMs own complex product domains across this marketplace.,Principal Product Manager,Principal Product Manager,Not exposed,Not exposed,Unavailable,"Remote; Seattle, WA; New York, NY; San Francisco, CA",US,Remote / listed offices,"USD 300,000–375,000 (published range)",USD,Healthcare,Insurance-enabled mental-health marketplace,ADJACENT,Preferred,"ADJACENT: Financial-services transactions, consumer journeys and enterprise platform work transfer to provider/patient workflows, while payer specifics are new.",Mixed,Marketplace / Supply Chain / Operations,"Lead a significant Headway product domain end to end. Decide platform and marketplace investments that improve access, practice operations and insurance-enabled care.",Define provider or patient product strategy; Improve insurance and payment workflows; Connect platform foundations to marketplace growth; Prioritize AI-enabled product opportunities; Measure adoption and access outcomes,Principal-level product ownership and executive influence; dedicated clinical product tenure is not stated as a hard screen.,Amazon Financial Services; Deep Enterprise; Keystone Data Platform; Amazon consumer products.,Knowledge Gap,Non-gating,Mental-health payer/provider operations need context; existing regulated and marketplace products transfer.,"Learn credentialing, claims and provider workflow fundamentals if an interview is scheduled.",Interview Triggered,Low,Interview Triggered,Credible Match,Apply Now + Bridge,Apply immediately; high-scope remote/Seattle opportunity justifies interviewing while learning healthcare details on demand.,General Principal PM,Deep Enterprise,https://jobs.ashbyhq.com/headway/3dd3085b-471c-4416-a782-9c9fccf7e32f,Official employer/ATS page (jobs.ashbyhq.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
67be8703-070b-459d-8c5c-191a1478f803,R37 Lab / R1 RCM,R37 Lab within R1 RCM builds AI tools for health-system revenue cycles; this Principal role owns products automating medical coding and billing.,Principal Product Manager,Principal Product Manager,Not exposed,Not exposed,Unavailable,United States,US,Remote,"USD 216,000–270,000 (published range)",USD,Healthcare,Healthcare revenue-cycle management,BRIDGEABLE,Required,"BRIDGEABLE: Enterprise agent automation and regulated decision workflows transfer to coding and billing, though direct RCM experience is absent.",GenAI / Agentic AI,AI / Agents / Evals,"Own AI-enabled RCM product strategy across clinical documentation and financial workflows. Decide which automation and decision-support capabilities improve coding, denials and collections at scale.",Translate medical records into coding workflows; Define AI-enabled billing and denial products; Measure revenue-cycle automation outcomes; Set agent decision-support roadmap; Coordinate healthcare clients with AI research and engineering,"10+ years enterprise product management, proven production AI/ML productization and deep healthcare experience; RCM specifically is strongly preferred.",Forecasting Agent; Deep Enterprise; Amazon Financial Services regulated workflows.,Experience Gap,Hard,"The JD requires deep healthcare experience, which current candidate evidence does not establish; RCM specifics are additionally preferred.",Test whether transferable regulated enterprise AI work can overcome the healthcare screen; prepare RCM concepts only if the process advances.,Before Recruiter Screen,Low,Interview Triggered,Stretch,Apply Now + Bridge,"Apply opportunistically as a high-upside AI-product stretch, while recognizing a real hard healthcare-domain screen and avoiding a niche study track.",Agents / 0→1 Platform,Forecasting Agent / Agent Evaluation,https://jobs.ashbyhq.com/r37/67be8703-070b-459d-8c5c-191a1478f803,Official employer/ATS page (jobs.ashbyhq.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
0762f803-07d5-4946-bd06-decbece48fdc,Included Health,Included Health offers care navigation and clinical services; this Staff PM role owns application foundations for expert care workflows.,Staff Product Manager - Care Application Platform,Staff Product Manager,Not exposed,Not exposed,Unavailable,United States,US,Remote,"USD 163,000–277,704 (published range)",USD,Healthcare,Care application platform and expert workflows,ADJACENT,Preferred,ADJACENT: Enterprise expert-user workflows and high-stakes regulated decisions transfer to care applications even without direct clinical tenure.,Mixed,Enterprise / Developer Platform,Build the application platform used by care teams. Prioritize reliable tools and AI-assisted workflows that improve expert decisions and operational delivery.,Define care application platform roadmap; Improve expert-user workflow efficiency; Integrate AI-enabled decision support; Establish reliability and data-quality requirements; Measure clinician and operations adoption,5+ years PM and complex expert/high-stakes workflows; direct healthcare experience may be substituted by another high-stakes domain.,Deep Enterprise planner workflows; Amazon Financial Services regulated products; Keystone Data Platform.,Knowledge Gap,Non-gating,Clinical vocabulary and care delivery context are new; the JD accepts adjacent high-stakes expert workflow experience.,Translate enterprise planner/financial expert workflows into care-team analogs; learn care terminology if interviewed.,Interview Triggered,Low,Interview Triggered,Credible Match,Apply Now + Bridge,Apply immediately; Staff platform ownership and high-stakes workflow transfer satisfy the stated alternative.,Enterprise Platform,Deep Enterprise,https://jobs.lever.co/includedhealth/0762f803-07d5-4946-bd06-decbece48fdc,Official employer/ATS page (jobs.lever.co),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
4ffc91f2-542c-4b06-8276-1843276a8f00,Clarify Health,"Clarify Health sells care-economics analytics software; this Senior PM role owns components, quality gates and release execution in Meridian.",Senior Product Manager,Senior Product Manager,Not exposed,Not exposed,Unavailable,United States,US,Remote,"USD 162,000–190,000 (published range)",USD,Healthcare,Healthcare analytics component delivery,ADJACENT,Preferred,"ADJACENT: Data quality, analytics and product delivery transfer, but component-level ownership is below established Principal scope.",Data / Infrastructure,Data / ML Platform,"Deliver and maintain defined Meridian components. Prototype, validate, release and triage defects so analytics features stay dependable for health-system users.",Prototype healthcare analytics components; Validate data metrics and release quality; Write component specifications; Manage defect triage and regression gates; Partner with clinical informatics on data tradeoffs,5+ years product/analytics experience and technical prototyping; healthcare background is strongly preferred.,Keystone Data Platform; Amazon ML Platform; product quality leadership.,No Material Gap,Non-gating,Skills are adequate; the issue is role level and narrow component ownership rather than missing capability.,No build; reserve attention for Principal/Staff-scale roles.,Not Required,Low,No Build Needed,Skip,Skip,Skip; component-level Senior scope and published economics are an unnecessary down-level from current Principal ownership.,Data / ML Platform,Enterprise Data Platform,https://jobs.lever.co/clarifyhealth/4ffc91f2-542c-4b06-8276-1843276a8f00,Official employer/ATS page (jobs.lever.co),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
7a8fba25-fe2f-4b23-a224-ac48e943725d,interface.ai,interface.ai builds conversational agents for financial institutions; this Principal role owns the shared AI platform used by its product teams.,Principal Product Manager – AI Platform,Principal Product Manager,Not exposed,Not exposed,Unavailable,"San Francisco, CA",US,On-site,"USD 250,000–320,000 (published range)",USD,AI-native,Financial-services agent platform,ADJACENT,Required,"ADJACENT: Forecasting Agent, Deep Enterprise and Amazon financial products combine agent-platform and regulated-customer evidence.",GenAI / Agentic AI,AI / Agents / Evals,"Set the platform roadmap that powers the company's production agents. Decide reusable orchestration, evaluation and reliability investments while mentoring PMs and scaling customer use.",Define agent platform architecture and roadmap; Improve multi-agent orchestration and quality; Build evaluation and reliability workflows; Scale shared APIs across product teams; Balance real-time latency with financial-customer trust,8+ years PM including 3+ at Staff/Principal level; confirm how company counts current Principal tenure.,Forecasting Agent; Deep Enterprise; Amazon Financial Services; Patent AI evaluation.,Evidence Gap,Soft,"Strategic platform fit is strong, but three-plus years formal Staff/Principal title tenure and production voice-agent scope are not fully evidenced.",Package end-to-end agent platform and eval tradeoffs; clarify tenure screen and SF on-site feasibility.,Ongoing Strategic Build,High,Build Now,Credible Match,Apply Now + Bridge,Apply immediately; aligned agent and fintech platform scope warrants pursuit despite tenure and location questions.,Agents / 0→1 Platform,Forecasting Agent / Agent Evaluation,https://jobs.ashbyhq.com/interface-ai/7a8fba25-fe2f-4b23-a224-ac48e943725d/,Official employer/ATS page (jobs.ashbyhq.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
