company,careers_url,expected_source_type,expected_source_identifier,benchmark_confidence,detected_source_type,detected_source_identifier,detector_confidence,detection_method,evidence,adapter_available,match_status,review_needed,identifier_comparison,identifier_note,source_ready
Uber,https://www.uber.com/global/en/careers/list/,company_native_custom,Uber Careers,High,unknown,,low,insufficient_evidence,[],False,UNKNOWN,True,NOT_COMPARABLE,No reliable source evidence within bounded public inspection; access errors and limits are recorded.,False
Dropbox,https://jobs.dropbox.com/,company_native_custom,Dropbox Jobs,High,unknown,,low,insufficient_evidence,[],False,UNKNOWN,True,NOT_COMPARABLE,No reliable source evidence within bounded public inspection; access errors and limits are recorded.,False
Notion,https://www.notion.so/careers,ashby,notion,High,ashby,notion,high,link,"[{""method"": ""link"", ""url"": ""https://jobs.ashbyhq.com/notion/05e14247-17c4-4e98-9a13-53828a4e2f13"", ""found_on"": ""https://www.notion.com/careers""}, {""method"": ""link"", ""url"": ""https://jobs.ashbyhq.com/notion/b21fef72-4864-4a3e-a627-91557a0f8a36"", ""found_on"": ""https://www.notion.com/careers""}, {""method"": ""link"", ""url"": ""https://jobs.ashbyhq.com/notion/a67d6f2b-7c13-41d0-b36b-b2f662c9873e"", ""found_on"": ""https://www.notion.com/careers""}, {""method"": ""link"", ""url"": ""https://jobs.ashbyhq.com/notion/297b4ece-765f-4eea-b1b8-46057cb6501f"", ""found_on"": ""https://www.notion.com/careers""}, {""method"": ""link"", ""url"": ""https://jobs.ashbyhq.com/notion/85947779-6b87-466a-98bc-30a640448c28"", ""found_on"": ""https://www.notion.com/careers""}, {""method"": ""link"", ""url"": ""https://jobs.ashbyhq.com/notion/3fba1c39-c5cb-47d7-9ad2-1cec4d7e9d0c"", ""found_on"": ""https://www.notion.com/careers""}, {""method"": ""link"", ""url"": ""https://jobs.ashbyhq.com/notion/e66c6658-9e65-4c58-8db2-844628b6e8f8"", ""found_on"": ""https://www.notion.com/careers""}, {""method"": ""link"", ""url"": ""https://jobs.ashbyhq.com/notion/e32799d2-8ef8-4803-8189-c72514afa816"", ""found_on"": ""https://www.notion.com/careers""}]",True,MATCH,False,EXACT,,True
Figma,https://www.figma.com/careers/,greenhouse,figma,High,greenhouse,figma,high,link,"[{""method"": ""link"", ""url"": ""https://boards.greenhouse.io/figma/jobs/5813967004?gh_jid=5813967004"", ""found_on"": ""https://www.figma.com/careers/""}, {""method"": ""link"", ""url"": ""https://boards.greenhouse.io/figma/jobs/6118332004?gh_jid=6118332004"", ""found_on"": ""https://www.figma.com/careers/""}, {""method"": ""link"", ""url"": ""https://boards.greenhouse.io/figma/jobs/5822583004?gh_jid=5822583004"", ""found_on"": ""https://www.figma.com/careers/""}, {""method"": ""link"", ""url"": ""https://boards.greenhouse.io/figma/jobs/6146574004?gh_jid=6146574004"", ""found_on"": ""https://www.figma.com/careers/""}, {""method"": ""link"", ""url"": ""https://boards.greenhouse.io/figma/jobs/6119180004?gh_jid=6119180004"", ""found_on"": ""https://www.figma.com/careers/""}, {""method"": ""link"", ""url"": ""https://boards.greenhouse.io/figma/jobs/6092343004?gh_jid=6092343004"", ""found_on"": ""https://www.figma.com/careers/""}, {""method"": ""link"", ""url"": ""https://boards.greenhouse.io/figma/jobs/6019394004?gh_jid=6019394004"", ""found_on"": ""https://www.figma.com/careers/""}, {""method"": ""link"", ""url"": ""https://boards.greenhouse.io/figma/jobs/5835172004?gh_jid=5835172004"", ""found_on"": ""https://www.figma.com/careers/""}]",True,MATCH,False,EXACT,,True
Snowflake,https://careers.snowflake.com/,ashby,snowflake,High,ashby,snowflake,high,embedded_url,"[{""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/snowflake/0636f234-a5d9-4c8f-8516-f2eddf3b8d4c"", ""found_on"": ""https://careers.snowflake.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/snowflake/435f1357-2f89-4b5f-bc33-b79b0a8355f2"", ""found_on"": ""https://careers.snowflake.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/snowflake/7d16c372-de19-432a-b890-6259cb5a6d45"", ""found_on"": ""https://careers.snowflake.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/snowflake/768bc008-b6a6-4b1d-a8ac-3d44d052d6ba"", ""found_on"": ""https://careers.snowflake.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/snowflake/30e214f2-5853-4014-8def-c4284c0e99f8"", ""found_on"": ""https://careers.snowflake.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/snowflake/37d460d2-f97e-423b-a5bc-056e0548aadd"", ""found_on"": ""https://careers.snowflake.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/snowflake/7f5eac56-c65b-4495-b8b4-bcacc7b2372d"", ""found_on"": ""https://careers.snowflake.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/snowflake/fc1923c1-b151-4458-a792-40d58331a5be"", ""found_on"": ""https://careers.snowflake.com/us/en/search-results""}]",True,MATCH,False,EXACT,,True
Salesforce,https://careers.salesforce.com/en/jobs/,company_native_custom,Salesforce Careers,High,unknown,,low,insufficient_evidence,[],False,UNKNOWN,True,NOT_COMPARABLE,No reliable source evidence within bounded public inspection; access errors and limits are recorded.,False
Adobe,https://careers.adobe.com/,workday,adobe,High,workday,adobe/external_experienced,high,embedded_url,"[{""method"": ""embedded_url"", ""url"": ""https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Mgr--Enterprise-Sales-Firefly_R170909/apply"", ""found_on"": ""https://careers.adobe.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://adobe.wd5.myworkdayjobs.com/external_experienced/job/New-York/Product-Specialist--Firefly_R170840/apply"", ""found_on"": ""https://careers.adobe.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://adobe.wd5.myworkdayjobs.com/external_experienced/job/New-York/Product-Specialist--Firefly_R171023/apply"", ""found_on"": ""https://careers.adobe.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://adobe.wd5.myworkdayjobs.com/external_experienced/job/New-York/Strategic-Development-Manager--Creative-Professionals_R171298/apply"", ""found_on"": ""https://careers.adobe.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://adobe.wd5.myworkdayjobs.com/external_experienced/job/New-York/Strategic-Development-Manager--Creative-Professionals_R171300/apply"", ""found_on"": ""https://careers.adobe.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Director--C-P-Customer-Growth-Initiatives_R171210-1/apply"", ""found_on"": ""https://careers.adobe.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Tokyo/Senior-Digital-Manager--Creativity---Productivity_R171773/apply"", ""found_on"": ""https://careers.adobe.com/us/en/search-results""}, {""method"": ""embedded_url"", ""url"": ""https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Paris/Enterprise-Account-Executive---Creativity---Productivity_R170572/apply"", ""found_on"": ""https://careers.adobe.com/us/en/search-results""}]",False,MATCH,False,PARTIAL_COMPONENT_MATCH,,False
Atlassian,https://www.atlassian.com/company/careers/all-jobs,company_native_custom,Atlassian Careers,Medium,company_native_custom,,medium,careers_search_surface,"[{""method"": ""careers_search_surface"", ""url"": ""https://www.atlassian.com/company/careers/all-jobs""}]",False,MATCH,True,NOT_COMPARABLE,Company careers/search surface verified; underlying ATS and reusable identifier not established.,False
Cloudflare,https://www.cloudflare.com/careers/jobs/,greenhouse,cloudflare,High,greenhouse,cloudflare,high,script_url,"[{""method"": ""script_url"", ""url"": ""https://boards-api.greenhouse.io/v1/boards/cloudflare/jobs"", ""found_on"": ""https://www.cloudflare.com/_astro/index.IeDyoc7H.js""}]",True,MATCH,False,EXACT,,True
Ramp,https://ramp.com/careers,ashby,ramp,High,ashby,ramp,high,embedded_url,"[{""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/ramp/34413f8d-26bf-4bbc-8ade-eb309a0e2245"", ""found_on"": ""https://ramp.com/careers""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/ramp/34413f8d-26bf-4bbc-8ade-eb309a0e2245/application"", ""found_on"": ""https://ramp.com/careers""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/ramp/f564dcf9-9390-4a3f-896f-8047a5086040"", ""found_on"": ""https://ramp.com/careers""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/ramp/f564dcf9-9390-4a3f-896f-8047a5086040/application"", ""found_on"": ""https://ramp.com/careers""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/ramp/4e64ab86-4e30-403b-b1b9-41dc052570ce"", ""found_on"": ""https://ramp.com/careers""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/ramp/4e64ab86-4e30-403b-b1b9-41dc052570ce/application"", ""found_on"": ""https://ramp.com/careers""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/ramp/4745807e-82f4-4b1a-857c-dc8dadc73076"", ""found_on"": ""https://ramp.com/careers""}, {""method"": ""embedded_url"", ""url"": ""https://jobs.ashbyhq.com/ramp/4745807e-82f4-4b1a-857c-dc8dadc73076/application"", ""found_on"": ""https://ramp.com/careers""}]",True,MATCH,False,EXACT,,True
Rippling,https://www.rippling.com/careers,rippling,rippling,High,unknown,,low,insufficient_evidence,[],False,UNKNOWN,True,NOT_COMPARABLE,No reliable source evidence within bounded public inspection; access errors and limits are recorded.,False
Perplexity,https://www.perplexity.ai/careers,ashby,perplexity,High,unknown,,low,insufficient_evidence,[],False,UNKNOWN,True,NOT_COMPARABLE,No reliable source evidence within bounded public inspection; access errors and limits are recorded.,False
Scale AI,https://scale.com/careers,greenhouse,scaleai,High,greenhouse,scaleai,high,link,"[{""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/scaleai/jobs/4728014005"", ""found_on"": ""https://labs.scale.com/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/scaleai/jobs/4528009005"", ""found_on"": ""https://labs.scale.com/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/scaleai/jobs/4534631005"", ""found_on"": ""https://labs.scale.com/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/scaleai/jobs/4675684005"", ""found_on"": ""https://labs.scale.com/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/scaleai/jobs/4675694005"", ""found_on"": ""https://labs.scale.com/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/scaleai/jobs/4677657005"", ""found_on"": ""https://labs.scale.com/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/scaleai/jobs/4696595005"", ""found_on"": ""https://labs.scale.com/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/scaleai/jobs/4718431005"", ""found_on"": ""https://labs.scale.com/jobs""}]",True,MATCH,False,EXACT,,True
xAI,https://x.ai/careers,company_native_custom,xAI Careers,Low,unknown,,low,insufficient_evidence,[],False,UNKNOWN,True,NOT_COMPARABLE,No reliable source evidence within bounded public inspection; access errors and limits are recorded.,False
NVIDIA,https://www.nvidia.com/en-us/about-nvidia/careers/,workday,NVIDIAExternalCareerSite,High,workday,nvidia/NVIDIAExternalCareerSite,high,embedded_url,"[{""method"": ""embedded_url"", ""url"": ""https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/login"", ""found_on"": ""https://jobs.nvidia.com/careers""}]",False,MATCH,False,PARTIAL_COMPONENT_MATCH,,False
